order_id,customer_id,order_date,product_id,size,status,fulfillment
162,1070,2019-01-12,73,L,Completed,True
475,783,2019-02-01,249,L,Completed,True
475,783,2019-02-01,67,S,Completed,True
532,839,2019-02-05,249,XL,Completed,True
605,1061,2019-02-09,249,M,Returned,True
667,406,2019-02-12,66,L,Completed,True
667,406,2019-02-12,6,XL,Completed,True
734,810,2019-02-15,303,,Completed,True
746,1150,2019-02-16,66,S,Completed,True
755,755,2019-02-16,67,S,Completed,True
760,810,2019-02-17,203,S,Completed,True
760,810,2019-02-17,203,S,Completed,True
784,1036,2019-02-18,203,L,Completed,True
784,1036,2019-02-18,203,L,Completed,True
784,1036,2019-02-18,249,S,Completed,True
798,708,2019-02-18,73,L,Completed,True
798,708,2019-02-18,203,L,Completed,True
798,708,2019-02-18,249,XS,Completed,True
809,1036,2019-02-19,203,S,Completed,True
809,1036,2019-02-19,303,,Returned,True
815,783,2019-02-19,249,L,Completed,True
826,740,2019-02-20,303,,Completed,True
826,740,2019-02-20,203,S,Completed,True
835,810,2019-02-20,79,S,Completed,True
903,1110,2019-02-25,67,S,Returned,True
965,740,2019-02-28,73,M,Completed,True
1091,187,2019-03-07,249,L,Completed,True
1131,783,2019-03-10,203,L,Completed,True
1131,783,2019-03-10,53,XL,Completed,True
1169,1009,2019-03-12,303,,Completed,True
1173,483,2019-03-13,303,,Completed,True
1274,568,2019-03-18,303,,Requested,False
1276,396,2019-03-18,53,S,Completed,True
1284,812,2019-03-19,345,XL,Completed,True
1284,812,2019-03-19,210,S,Returned,True
1343,396,2019-03-23,203,XL,Completed,True
1343,396,2019-03-23,195,S,Completed,True
1368,48,2019-03-25,303,,Requested,False
1368,48,2019-03-25,195,M,Completed,True
1368,48,2019-03-25,286,XL,Completed,True
1379,708,2019-03-26,24,S,Completed,True
1379,708,2019-03-26,13,S,Completed,True
1398,812,2019-03-27,203,M,Completed,True
1398,812,2019-03-27,345,XL,Requested,False
1450,64,2019-03-30,73,XS,Completed,True
1451,406,2019-03-31,203,L,Completed,True
47,48,2019-03-31,303,,Completed,True
48,551,2019-03-31,303,,Completed,True
1459,551,2019-03-31,303,,Requested,False
1459,551,2019-03-31,79,XS,Completed,True
1496,64,2019-04-02,72,S,Completed,True
1532,1061,2019-04-04,303,,Completed,True
1539,1138,2019-04-05,123,XL,Completed,True
1539,1138,2019-04-05,73,M,Completed,True
1572,780,2019-04-07,286,M,Completed,True
1572,780,2019-04-07,303,,Completed,True
1572,780,2019-04-07,286,M,Completed,True
1572,780,2019-04-07,286,S,Completed,True
1572,780,2019-04-07,286,XL,Requested,False
1593,892,2019-04-08,195,XL,Completed,True
1593,892,2019-04-08,286,XS,Completed,True
1602,987,2019-04-09,123,L,Completed,True
1629,740,2019-04-10,203,XS,Completed,True
1631,987,2019-04-10,303,,Completed,True
1657,388,2019-04-13,210,S,Completed,True
1661,568,2019-04-14,72,M,Completed,True
1661,568,2019-04-14,13,S,Returned,True
1661,568,2019-04-14,303,,Requested,False
1661,568,2019-04-14,111,,Completed,True
1663,1036,2019-04-14,73,L,Completed,True
1681,1021,2019-04-15,303,,Requested,False
1695,185,2019-04-16,203,S,Completed,True
1695,185,2019-04-16,72,XL,Completed,True
1798,810,2019-04-23,249,S,Completed,True
75,568,2019-04-24,303,,Completed,True
76,169,2019-04-24,303,,Completed,True
1814,169,2019-04-24,303,,Requested,False
1814,169,2019-04-24,303,,Completed,True
1845,945,2019-04-26,249,L,Requested,False
1892,904,2019-04-28,203,M,Completed,True
1895,927,2019-04-29,286,M,Completed,True
1895,927,2019-04-29,123,XL,Requested,False
1908,327,2019-04-29,303,,Completed,True
1908,327,2019-04-29,123,M,Completed,True
1908,327,2019-04-29,286,S,Completed,True
1913,86,2019-04-30,123,L,Completed,True
1922,708,2019-04-30,286,S,Completed,True
1923,162,2019-04-30,286,XL,Requested,False
1923,162,2019-04-30,303,,Completed,True
90,780,2019-05-01,286,XL,Completed,True
91,162,2019-05-01,286,XL,Completed,True
